name,id
2l6M7GaS9x3rZOX6nDX3CM,Margalit Tzan'ani
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
1IAEef07H0fd9aA8aUHUlL,Omer Adam
2iEvnFsWxR0Syqu2JNopAd,Smash Mouth
5BtHciL0e0zOP7prIHn3pP,Breaking Benjamin
6uQl3gu1AIXyvqCAxnc2q4,Eden Hason
3MZsBdqDrRTJihTHQrO6Dq,Joji
2pQd850SlcQYxzmSwsQYHS,Beit Habubot
1oTaLSazZlqH2azlemNZOm,Atar Mayner
58mf4oi8A6QRteZvdlpq2n,Dor3
7sG6GYc2AsX0HNOkVdGCO4,Eden Derso
66jtNcSqBSNontUk1Apdam,Malca Baya
2wp6i8BxLF3UrF1J3LY4WC,Berry Sakharof
5EgEUxXi9uTYYN4cQwmLPy,Girafot
3MZsBdqDrRTJihTHQrO6Dq,Joji
74XFHRwlV6OrjEM0A2NCMF,Paramore
3JPKPnzWJGjccn8SnjwA5i,Agam Buhbut
0PFtn5NtBbbUNbU9EAmIWF,TOTO
6moCgUmUrdoS86CnxxAMK1,Partysingers
0xIUeWyN3fqugYcofU1uwL,The United Dance People
1dfeR4HaWDbWqFHLkxsg1d,Queen
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie
4saB5ta3MrhGC4aYV0zF2r,Avihu Pinchasov Rhythm Club
7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman
5WUlDfRSoLAfcVSX1WnrxN,Sia
71NBOcJ9lMeXqnbnya1z0x,Himalayas
73noq7TQFRfKKeynAhtCy6,דדי דדון
1PvbPOqIFfXgttsSsaM9bz,ארץ נהדרת
4Uzm4t6wAufWqKP7ZgYLxF,Shimi Tavori
1sVozq6X0qXArzROCJa208,Boaz Banai
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
56oDRnqbIiwx4mymNEv7dS,Lizzo
2S5hlvw4CMtMGswFtfdK15,Royal Blood
39jFFncu6W0phhYK16Dp9g,Sarit Hadad
2l6M7GaS9x3rZOX6nDX3CM,Margalit Tzan'ani
74ASZWbe4lXaubB36ztrGX,Bob Dylan
1PliqAiazZ7fUWok2vg2Ia,Teapacks
4xOU852y5U5YPQe29uWPH5,Hayehudim
6UReeaqNcjIfzIH13kTHKE,Amir Ve Ben
2a76fsDcTl6A43zwaFNPr4,Jane Bordeaux
39jFFncu6W0phhYK16Dp9g,Sarit Hadad
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
4r63FhuTkUYltbVAg5TQnk,DaBaby
0rvjqX7ttXeg3mTy8Xscbt,Journey
0rcuq0mzUaleXgXxuLFPPZ,Ethnix
1SOCXWLgBvXDqNobiSnGM7,Teddy Neguse
3cDi1D2FHMVgljfdB1QVgr,Jasmin Moallem
5EgEUxXi9uTYYN4cQwmLPy,Girafot
2gOP5NE2e7HmeVRy8EKPx8,DMZL
5WUlDfRSoLAfcVSX1WnrxN,Sia
2feDdbD5araYcm6JhFHHw7,Labrinth
2xiIXseIJcq3nG7C8fHeBj,Three Days Grace
3MZsBdqDrRTJihTHQrO6Dq,Joji
4Uzm4t6wAufWqKP7ZgYLxF,Shimi Tavori
17pbOSPIn3lmY0vHhOlKGL,Tuna
3rzVtsul7Jt3BFcy0UhWgs,Tzlil Danin
7dOBabd5O4CvKrg4iriHTM,Kid Rock
3EOEK57CV77D4ovYVcmiyt,Dennis Lloyd
3gC0JIIgE2lK3yztam5ndm,Yoni Bloch
6pDRa5fS3myWSP0fpIUcNl,Evans Blue
3gC0JIIgE2lK3yztam5ndm,Yoni Bloch
4zG8rBneMjXa6RadES2rUF,HaDorbanim
39jFFncu6W0phhYK16Dp9g,Sarit Hadad
2MOEM2cDGyOzUf7LrBFuIG,Adir Getz
5ypxebeHEIXjMtJb17uJlI,Jet
7oPftvlwr6VrsViSDV7fJY,Green Day
3MZsBdqDrRTJihTHQrO6Dq,Joji
4saB5ta3MrhGC4aYV0zF2r,Avihu Pinchasov Rhythm Club
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine
0zFvzQ4P6i9vu7Q2Kmmi3m,Eric Berman
39jFFncu6W0phhYK16Dp9g,Sarit Hadad
